filename,size,date
Miniconda3-latest-Windows-x86_64.exe,85.7M,2024-10-23 02:24:15
Miniconda3-latest-MacOSX-x86_64.sh,108.3M,2024-10-23 02:24:15
Miniconda3-latest-MacOSX-x86_64.pkg,107.6M,2024-10-23 02:24:15
Miniconda3-latest-MacOSX-arm64.sh,105.3M,2024-10-23 02:24:15
Miniconda3-latest-MacOSX-arm64.pkg,104.5M,2024-10-23 02:24:15
Miniconda3-latest-Linux-x86_64.sh,141.5M,2024-10-23 02:24:15
Miniconda3-latest-Linux-s390x.sh,137.6M,2024-10-23 02:24:15
Miniconda3-latest-Linux-aarch64.sh,115.5M,2024-10-23 02:24:15
Miniconda3-latest-Linux-ppc64le.sh,94.9M,2023-11-16 13:51:52
Miniconda3-latest-Windows-x86.exe,67.8M,2022-05-16 14:57:25
Miniconda3-latest-Linux-x86.sh,62.7M,2019-01-02 10:05:14
Miniconda3-latest-MacOSX-x86.sh,26.0M,2015-08-24 12:34:00
Miniconda3-latest-Linux-armv7l.sh,29.9M,2015-08-24 12:34:00
Miniconda3-py39_24.9.2-0-Windows-x86_64.exe,83.1M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-MacOSX-x86_64.sh,105.1M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-MacOSX-x86_64.pkg,104.4M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-MacOSX-arm64.sh,102.0M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-MacOSX-arm64.pkg,101.2M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-Linux-x86_64.sh,130.0M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-Linux-s390x.sh,126.6M,2024-10-23 02:24:15
Miniconda3-py39_24.9.2-0-Linux-aarch64.sh,124.2M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-Windows-x86_64.exe,85.7M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-MacOSX-x86_64.sh,108.3M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-MacOSX-x86_64.pkg,107.6M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-MacOSX-arm64.sh,105.3M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-MacOSX-arm64.pkg,104.5M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-Linux-x86_64.sh,141.5M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-Linux-s390x.sh,137.6M,2024-10-23 02:24:15
Miniconda3-py312_24.9.2-0-Linux-aarch64.sh,115.5M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-Windows-x86_64.exe,88.0M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-MacOSX-x86_64.sh,110.1M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-MacOSX-x86_64.pkg,109.3M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-MacOSX-arm64.sh,107.0M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-MacOSX-arm64.pkg,106.2M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-Linux-x86_64.sh,139.7M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-Linux-s390x.sh,136.2M,2024-10-23 02:24:15
Miniconda3-py311_24.9.2-0-Linux-aarch64.sh,117.1M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-Windows-x86_64.exe,83.3M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-MacOSX-x86_64.sh,105.7M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-MacOSX-x86_64.pkg,105.0M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-MacOSX-arm64.sh,102.6M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-MacOSX-arm64.pkg,101.8M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-Linux-x86_64.sh,131.9M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-Linux-s390x.sh,128.4M,2024-10-23 02:24:15
Miniconda3-py310_24.9.2-0-Linux-aarch64.sh,112.2M,2024-10-23 02:24:15
